count,replicate,ordering_fraction,dimension_estimate,longest_chain
256,81,0.5210171568627451,1.9449310383594538,28
256,82,0.5018688725490196,1.9950242681587802,25
256,83,0.468780637254902,2.085570707937611,26
256,84,0.5017463235294117,1.9953500610362254,28
256,85,0.4901348039215686,2.0265317644514327,29
256,86,0.5322303921568627,1.9163152341118541,33
256,87,0.4878676470588235,2.0326936884381155,25
256,88,0.5066176470588235,1.9824517004829758,27
256,89,0.49589460784313727,2.0109862907403615,28
256,90,0.4829044117647059,2.0462695946579457,30
256,91,0.5246323529411765,1.9356489512136463,28
256,92,0.49497549019607845,2.013456553067844,31
256,93,0.4915747549019608,2.0226307883538635,27
256,94,0.5125612745098039,1.9668562076609528,28
256,95,0.4550857843137255,2.1246692709665624,25
256,96,0.5231924019607843,1.9393395644972888,32
256,97,0.49172794117647056,2.0222163673721063,34
256,98,0.47408088235294116,2.070703850837234,27
256,99,0.47043504901960786,2.08091465246644,23
512,0,0.4971639554794521,2.0075811630186817,39
512,1,0.48848000244618395,2.0310269454816785,39
512,2,0.5048847235812133,1.98702800762774,39
512,3,0.4853076076320939,2.039681253125796,39
512,4,0.50610781555773,1.983796679340366,40
512,5,0.4798036937377691,2.05481198437547,38
512,6,0.49645303326810175,2.009487352536672,44
512,7,0.4860873287671233,2.037549677889249,38
512,8,0.5130029965753424,1.9657033133139608,42
512,9,0.5118563478473581,1.9686978131009183,43
512,10,0.5069716242661448,1.9815185556951738,40
512,11,0.49024584148727984,2.026230602917048,40
512,12,0.5074608610567515,1.9802297553251222,40
512,13,0.4872263331702544,2.0344411781104434,40
512,14,0.5118028375733855,1.9688376953886433,41
512,15,0.48917563600782776,2.02913570482978,40
512,16,0.5390854329745597,1.8990701276669637,42
512,17,0.4759509540117417,2.065492672469558,42
512,18,0.48211227984344424,2.0484473962650815,39
512,19,0.5229941291585127,1.939848411446477,41
512,20,0.49548984833659493,2.0120736578479304,39
512,21,0.48585799902152643,2.0381763067080465,38
512,22,0.5055803571428571,1.9851893735452075,40
512,23,0.4933188600782779,2.017918915534744,41
512,24,0.49805834148727984,2.0051863593733477,40
512,25,0.5058708414872799,1.9844222296301037,40
512,26,0.49832589285714285,2.0044706790254114,43
512,27,0.5045483732876712,1.9879177912323762,41
512,28,0.48971838307240706,2.0276617227984777,38
512,29,0.5075296599804305,1.9800486025363675,42
512,30,0.5063906555772995,1.983050381012237,43
512,31,0.518728595890411,1.9508351238467136,42
512,32,0.5082711594911937,1.9780975022090075,41
512,33,0.49816536203522505,2.0049000478366374,40
512,34,0.5188356164383562,1.9505585392173468,46
512,35,0.5097541585127201,1.9742025491904633,41
512,36,0.4967588062622309,2.008667200325702,41
512,37,0.5022092098825832,1.9941198472557846,40
512,38,0.4739404965753425,2.071095768223994,37
512,39,0.5257766634050881,1.9327221560815748,40
512,40,0.507713123776908,1.9795656305093807,40
512,41,0.48586564334637966,2.038155414988104,40
512,42,0.47973489481409004,2.05500206178399,40
512,43,0.5048388576320939,1.9871493120269792,41
512,44,0.49999235567514677,2.00002038499928,38
512,45,0.5011466487279843,1.996945257614722,39
512,46,0.5288955479452054,1.9247721703663092,44
512,47,0.49608610567514677,2.010472105395215,40
512,48,0.5080341854207436,1.9787207864482772,41
512,49,0.4875856164383562,2.0334619389760578,39
512,50,0.503103595890411,1.9917455719760957,41
512,51,0.4679014799412916,2.088050732366807,41
512,52,0.4888622186888454,2.029987516514506,37
512,53,0.49698813600782776,2.0080523692928742,43
512,54,0.4772810665362035,2.0617968953659256,39
512,55,0.5016435298434442,1.9956233872884714,39
512,56,0.4847954378669276,2.0410830071503305,40
512,57,0.5062607020547946,1.9833932307797295,43
512,58,0.5110613380626223,1.970777343203669,42
512,59,0.519431873776908,1.94901845041102,42
512,60,0.5031571061643836,1.9916036354069897,45
512,61,0.4961243272994129,2.0103694979234423,41
512,62,0.49070450097847357,2.0249872234145125,40
512,63,0.501337756849315,1.9964367137191072,42
512,64,0.5140502690802349,1.9629732933858752,44
512,65,0.5093184319960861,1.9753459425301207,43
512,66,0.49115551614481406,2.023765537862957,42
512,67,0.48671416340508805,2.035838186986621,39
512,68,0.5007567881604696,1.9979832003228115,41
512,69,0.5040514921722113,1.9892331690944685,42
512,70,0.4969116927592955,2.0082572860234458,39
512,71,0.49741621819960863,2.006905333125707,40
512,72,0.5060543052837574,1.9839379108395208,40
512,73,0.4734512597847358,2.072462362846569,39
512,74,0.49124724804305286,2.0235171771053064,39
512,75,0.4925850048923679,2.0198997566821513,38
512,76,0.5232846135029354,1.9391029684145684,41
512,77,0.4846654843444227,2.041438878485514,40
512,78,0.5223214285714286,1.9415760433582674,39
512,79,0.5051369863013698,1.986361001106217,41
512,80,0.4936857876712329,2.0169294408169884,41
512,81,0.5237126956947162,1.9380050570846628,44
512,82,0.49616254892367906,2.0102668972099997,43
512,83,0.49573446673189825,2.0114164114264126,42
512,84,0.5091884784735812,1.9756871154842794,39
512,85,0.514356042074364,1.9621770967468692,41
512,86,0.49549749266144816,2.012053114697395,42
512,87,0.5070710004892368,1.9812566825287077,45
512,88,0.4967817392367906,2.0086057063068865,40
512,89,0.5089056384540117,1.976429924237423,38
512,90,0.509914689334638,1.9737815083141927,41
512,91,0.4986087328767123,2.003714459426889,40
